Date,predict
1,1.1680679321289062
2,-0.8541831970214844
3,-0.9441337585449219
4,1.8062477111816406
5,-0.5997047424316406
6,0.8783416748046875
7,-0.11258697509765625
8,-1.6278266906738281
9,-0.15089035034179688
10,-0.2998847961425781
11,-1.3893280029296875
12,0.9282188415527344
13,-0.9452018737792969
14,0.5814781188964844
15,-0.3438758850097656
16,-0.036895751953125
17,0.5289497375488281
18,-0.5316390991210938
19,-0.1534881591796875
20,-0.3022499084472656
21,0.4370155334472656
22,1.4030075073242188
23,1.9686622619628906
24,0.31075286865234375
25,-0.07732772827148438
26,0.0
27,-0.46639251708984375
28,0.0
29,0.0
30,0.8413467407226562
