Date,predict
1,0.7577972412109375
2,0.11684608459472656
3,-0.8951625823974609
4,1.2121601104736328
5,0.23609542846679688
6,0.9078788757324219
7,-0.15186309814453125
8,-0.8555126190185547
9,0.2913398742675781
10,-0.23399925231933594
11,0.05806159973144531
12,-0.08775138854980469
13,0.0
14,0.5571804046630859
15,-0.35404396057128906
16,-0.11828231811523438
17,0.9819507598876953
18,-0.6872196197509766
19,0.8302974700927734
20,0.3604698181152344
21,-0.9740028381347656
22,0.8518257141113281
23,0.06214141845703125
24,0.06017494201660156
25,0.20719337463378906
26,0.0
27,-0.9818077087402344
28,0.1788196563720703
29,0.24126243591308594
30,-0.029844284057617188
