Date,predict
1,0.39257335662841797
2,0.3925905227661133
3,-0.3945169448852539
4,0.4048595428466797
5,-0.10122203826904297
6,0.3030862808227539
7,0.6448173522949219
8,-0.3382854461669922
9,-0.06296920776367188
10,0.4976491928100586
11,-0.031165122985839844
12,0.598052978515625
13,-0.24746990203857422
14,0.1413707733154297
15,-0.3718137741088867
16,0.21525192260742188
17,0.7097311019897461
18,-1.199960708618164
19,-0.39768409729003906
20,0.5669488906860352
21,-0.32031822204589844
22,-0.1842336654663086
23,0.7297649383544922
24,0.09557533264160156
25,0.2251434326171875
26,0.0
27,0.0775299072265625
28,0.26737403869628906
29,0.031072616577148438
30,0.28876781463623047
