Date,predict
1,0.10651731491088867
2,-0.009714126586914062
3,-0.2037029266357422
4,0.2288193702697754
5,-0.47849082946777344
6,0.7507691383361816
7,-0.14773321151733398
8,0.12229633331298828
9,-0.22565937042236328
10,-0.05595588684082031
11,-0.07737255096435547
12,0.019685745239257812
13,-0.09371232986450195
14,0.21692800521850586
15,0.09937572479248047
16,-0.15967702865600586
17,-0.1488947868347168
18,-0.07559013366699219
19,-0.03895282745361328
20,0.20978403091430664
21,-0.16520452499389648
22,-0.07604789733886719
23,-0.09743165969848633
24,-0.24582290649414062
25,0.05951499938964844
26,0.19569873809814453
27,-0.009842395782470703
28,0.01935863494873047
29,-0.21468210220336914
30,0.019519329071044922
